,date,gdp
0,1/1/1979,2526.61
1,4/1/1979,2591.247
2,7/1/1979,2667.565
3,10/1/1979,2723.883
4,1/1/1980,2789.842
5,4/1/1980,2797.352
6,7/1/1980,2856.483
7,10/1/1980,2985.557
8,1/1/1981,3124.206
9,4/1/1981,3162.532
10,7/1/1981,3260.609
11,10/1/1981,3280.818
12,1/1/1982,3274.302
13,4/1/1982,3331.972
14,7/1/1982,3366.322
15,10/1/1982,3402.561
16,1/1/1983,3473.413
17,4/1/1983,3578.848
18,7/1/1983,3689.179
19,10/1/1983,3794.706
20,1/1/1984,3908.054
21,4/1/1984,4009.601
22,7/1/1984,4084.25
23,10/1/1984,4148.551
